step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
62,-0.0318,0.47054383158683777,1.6711229946524065e-05,308641.0,169.8125,141.5,188.5,0.125,164.625,141.5,186.25,0.75,0.25,0.75,0.25,0.5,0.005943313590250909,0.2262795828282833,0.0,0.0,0.0,0.0,0.0,0.03
63,0.1619,0.8089655637741089,1.697860962566845e-05,314036.0,177.6875,149.5,211.75,0.0625,171.4375,149.5,190.25,0.6875,0.375,0.6875,0.375,0.25,0.004888833325821906,0.37095341831445694,0.0,0.0,0.0,0.0,0.0,0.03
64,-0.0213,0.0055324542336165905,1.7245989304812833e-05,318289.0,137.8125,108.75,170.0,0.0,137.8125,108.75,170.0,0.9375,0.125,0.9375,0.125,0.75,0.006537304725497961,0.2304191254079342,0.0,0.0,0.0,0.0,0.0,0.03
65,0.1653,0.6524293422698975,1.7513368983957222e-05,323447.0,184.375,126.5,226.5,0.25,166.70833587646484,126.5,202.25,0.5625,0.41367512941360474,0.5625,0.41367512941360474,0.25,0.005018871743232012,0.30594927072525024,0.0,0.0,0.0,0.0,0.0,0.04
66,-0.1604,0.6147828102111816,1.7780748663101605e-05,328460.0,175.3125,124.25,235.0,0.1875,157.02083778381348,124.25,184.5,0.6875,0.41367512941360474,0.6875,0.41367512941360474,0.25,0.004783497890457511,0.3622739017009735,0.0,0.0,0.0,0.0,0.0,0.04
67,0.0001,0.0038854910526424646,1.804812834224599e-05,332542.0,118.375,96.75,138.75,0.0,118.375,96.75,138.75,0.75,0.0,0.75,0.0,1.0,0.00650811824016273,0.2924940884113312,0.0,0.0,0.0,0.0,0.0,0.04
68,0.0638,0.6909549236297607,1.8315508021390377e-05,337037.0,143.9375,77.5,220.75,0.3125,99.0625,77.5,123.0,0.5625,0.26933756470680237,0.5625,0.26933756470680237,0.5,0.005913839442655444,0.3848040997982025,0.0,0.0,0.0,0.0,0.0,0.04
69,0.0217,0.50937420129776,1.858288770053476e-05,342637.0,183.75,129.5,226.25,0.25,158.08333587646484,129.5,195.0,0.375,0.14433756470680237,0.375,0.14433756470680237,0.75,0.005388451856561005,0.3903254345059395,0.0,0.0,0.0,0.0,0.0,0.04
70,-0.0208,0.8063967227935791,1.8850267379679145e-05,347414.0,158.3125,133.75,176.0,0.0,158.3125,133.75,176.0,0.75,0.39433756470680237,0.75,0.39433756470680237,0.25,0.005229055765084922,0.26649222895503044,0.0,0.0,0.0,0.0,0.0,0.04
71,-0.0992,0.5503210425376892,1.9117647058823528e-05,351410.0,118.5,95.25,156.0,0.0,118.5,95.25,156.0,0.5625,0.125,0.5625,0.125,0.75,0.006439951597712934,0.36428432166576385,0.0,0.0,0.0,0.0,0.0,0.04
72,-0.0435,0.002853222656995058,1.9385026737967914e-05,356419.0,165.3125,112.0,224.0,0.125,155.66666793823242,112.0,209.75,0.8125,0.125,0.8125,0.125,0.75,0.004526313452515751,0.31208336353302,0.0,0.0,0.0,0.0,0.0,0.04
73,-0.1572,0.7573421597480774,1.96524064171123e-05,361602.0,157.4375,108.25,204.5,0.0625,153.54166793823242,108.25,195.5,0.625,0.39433756470680237,0.625,0.39433756470680237,0.25,0.004580829641781747,0.2643876373767853,0.0,0.0,0.0,0.0,0.0,0.04
74,-0.0525,0.8717551827430725,1.9919786096256686e-05,366514.0,147.0,110.0,194.0,0.0625,139.60416793823242,110.0,171.5,0.6875,0.375,0.6875,0.375,0.25,0.004725920152850449,0.32943596690893173,0.0,0.0,0.0,0.0,0.0,0.04
75,0.014,0.5327827334403992,2.018716577540107e-05,371765.0,179.4375,143.5,215.5,0.1875,169.91666793823242,143.5,194.25,0.375,0.4330126941204071,0.375,0.4330126941204071,0.25,0.004733334470074624,0.35516632348299026,0.0,0.0,0.0,0.0,0.0,0.04
76,-0.0917,0.6096967458724976,2.0454545454545457e-05,376417.0,149.75,126.0,181.25,0.125,142.125,126.0,166.75,0.4375,0.26933756470680237,0.4375,0.26933756470680237,0.5,0.006303286412730813,0.3532128632068634,0.0,0.0,0.0,0.0,0.0,0.04
77,0.0778,0.004035995341837406,2.072192513368984e-05,380728.0,138.4375,97.5,182.5,0.0625,132.54166793823242,97.5,163.75,0.875,0.14433756470680237,0.875,0.14433756470680237,0.75,0.006002502399496734,0.3554886057972908,0.0,0.0,0.0,0.0,0.0,0.04
78,0.0367,0.004552334081381559,2.0989304812834226e-05,386137.0,185.0625,133.5,216.5,0.25,164.75,133.5,187.25,0.3125,0.125,0.3125,0.125,0.75,0.0055836092797107995,0.40828007459640503,0.0,0.0,0.0,0.0,0.0,0.04
79,0.1056,0.7210257053375244,2.125668449197861e-05,390879.0,139.875,107.5,175.5,0.125,126.3125,107.5,148.75,0.625,0.25,0.625,0.25,0.5,0.005759975174441934,0.3214907944202423,0.0,0.0,0.0,0.0,0.0,0.04
80,0.0713,0.5516826510429382,2.1524064171122994e-05,395196.0,128.0625,103.75,166.25,0.0,128.0625,103.75,166.25,0.875,0.14433756470680237,0.875,0.14433756470680237,0.75,0.006178047857247293,0.20915726572275162,0.0,0.0,0.0,0.0,0.0,0.04
81,0.0938,0.006803213618695736,2.179144385026738e-05,399560.0,135.25,104.0,158.75,0.0,135.25,104.0,158.75,0.8125,0.125,0.8125,0.125,0.75,0.007543215644545853,0.29751590825617313,0.0,0.0,0.0,0.0,0.0,0.04
